Agent名称,发送的prompt,收到的内容,回合
A001_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A001_NJ_BK | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A001_NJ_BK | Round=14
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A001_NJ_BK | Round=14
按新最低工资调整时薪，若差额两周内追补；低峰压缩工时。
执行节日促销陈列与口径，设日目标并复盘反馈。
薯条控量与限购，增订替代品，优先推非薯配菜，稳毛利。",14
A002_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A002_NJ_BK | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A002_NJ_BK | Round=14
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A002_NJ_BK | Round=14
调整薪资与排班以达新最低工资，严控工时；执行节日促销并日跟转化；薯条紧缺限购控份，推荐替代配菜并沟通到货。",14
A003_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A003_NJ_BK | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A003_NJ_BK | Round=14
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A003_NJ_BK | Round=14
核对时薪并补发差额，压缩高峰重叠时段稳控人工。
节日促销全量执行（口播+屏显）；反馈：加购率升，无投诉。
薯条限量优先套餐，控分量与报废，侧推洋葱圈等。",14
A004_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A004_NJ_BK | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A004_NJ_BK | Round=14
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A004_NJ_BK | Round=14
时薪按新标生效，削减低峰人时，严控加班，规避合规风险。
执行节日促销，客流+8%毛利微降，日报回传；薯类紧缺，限大份薯条、推洋葱圈、控报废。",14
A005_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A005_NJ_BK | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A005_NJ_BK | Round=14
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A005_NJ_BK | Round=14
按新规调整时薪与排班，核对上周工时补差；低峰控工时。
全面执行节日促销，高峰增人；追踪兑换率与客单，日报反馈。
薯类紧缺：限大份薯条，推洋葱圈等替代；严控日订与毛利。",14
A006_NJ_BK,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A006_NJ_BK | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A006_NJ_BK | Round=14
【本周行动】你现在扮演：汉堡王门店值班经理（州别：NJ，连锁：汉堡王）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A006_NJ_BK | Round=14
时薪按新规上调并压缩闲时排班，严控加班；促销照办，客流增客单降，高峰加派前台；薯条紧缺，停大份，优先高峰供给，推洋葱圈替代，控废损。",14
A007_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A007_NJ_KFC | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A007_NJ_KFC | Round=14
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A007_NJ_KFC | Round=14
按新最低工资即时调薪，压缩闲时排班控加班；按总部节促执行，物料上墙与话术培训，日报销量与反馈；土豆紧缺，提频订货和跨店调拨，薯条限购推替代，减少相关优惠引导。",14
A008_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A008_NJ_KFC | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A008_NJ_KFC | Round=14
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A008_NJ_KFC | Round=14
薪资按新标执行，低峰缩班控人工占比；节日促销上架，POS/看板齐，监测毛利与客诉；薯源紧缺：限大薯与加量，预设替代配菜，主推凉拌/玉米，严控日备量。",14
A009_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A009_NJ_KFC | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A009_NJ_KFC | Round=14
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A009_NJ_KFC | Round=14
按新最低工资调时薪并公示；低峰合班控人工。
执行节日促销，口播引导；收集兑券/出餐，日更反馈。
限购大薯停折扣，主推玉米等替代，锁量备货。",14
A010_NJ_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“NJ最低工资上调”已生效；范围=NJ；约25%门店在0~2周内滞后执行）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
请严格遵循：你的回复第一行必须是：Agent=A010_NJ_KFC | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A010_NJ_KFC | Round=14
【本周行动】你现在扮演：肯德基门店值班经理（州别：NJ，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A010_NJ_KFC | Round=14
调整薪资表与排班，核对并补差，压低峰外工时。
执行节日促销，补足物料与话术，日报转化与客单。
临时停售大份薯条，推荐非薯配菜，严控薯料订货与出品。",14
A011_PA_KFC,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A011_PA_KFC | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A011_PA_KFC | Round=14
【本周行动】你现在扮演：肯德基门店值班经理（州别：PA，连锁：肯德基）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A011_PA_KFC | Round=14
节促：物料上墙、话术统一，日报转化与毛利给总部。
薯紧：薯条/土泥限量，主推玉米杯/沙拉，滚动对接到货。
大雪：缩短堂食，强化得来速/外送；弹性排班，门前除雪。",14
A012_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A012_PA_WY | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A012_PA_WY | Round=14
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A012_PA_WY | Round=14
1) 大雪：缩短堂食，保留得来速/外卖；精简班次，除雪巡检，保障安全与履约。
2) 薯类紧缺+节促：暂停大份薯条/烤土豆，推沙拉/辣味牛肉汤；按总部口径执行，日终复盘上报。",14
A013_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A013_PA_WY | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A013_PA_WY | Round=14
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A013_PA_WY | Round=14

执行节日促销，完善布陈口播，日结核销与客单反馈。
薯源紧缺：停大份薯条/烤薯，主推沙拉/辣酱，严控克重毛利。
大雪：缩短堂食时段、弹性排班与除雪，聚焦外卖/DT。",14
A014_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A014_PA_WY | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A014_PA_WY | Round=14
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A014_PA_WY | Round=14
雪天：缩时营业、精简班次，清雪除冰，推外送/到车。
土豆紧缺：停烤土豆、限大薯条/早餐土豆，推辣汤/沙拉，控份废。
促销周：按口径落地物料与话术，冲客单，日报转化。",14
A015_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A015_PA_WY | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A015_PA_WY | Round=14
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A015_PA_WY | Round=14
雪天缩短至20点，骨干排班+待命，优先得来速，清雪防滑保安全。
执行节促：前台话术+陈列，追踪日销转化。
薯条紧缺：限大份，推荐沙拉/辣椒杯，严控出成与废弃。",14
A016_PA_WY,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A016_PA_WY | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A016_PA_WY | Round=14
【本周行动】你现在扮演：温迪门店值班经理（州别：PA，连锁：温迪）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A016_PA_WY | Round=14
大雪调班：缩短大厅、强化DT/外送，除雪撒盐保安全；土豆紧缺：限售大薯/烤土豆，引导沙拉等替代；按促销上物料与POS，日汇兑换率与毛利反馈。",14
A017_PA_RR,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A017_PA_RR | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A017_PA_RR | Round=14
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A017_PA_RR | Round=14
- 雪天缩短晚间营业并合班，保安全并聚焦外卖。
- 严格执行节促，物料上墙，做日复盘看转化调备货。
- 薯类紧缺：停售大份薯条，推荐凉拌/豆配菜，控毛利与损耗。",14
A018_PA_RR,"系统: （沿用既有规则；本回合额外：）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
（本回合：事件“总部节日促销口径”已生效；范围=All；促销周：请据实说明执行与反馈）
（本回合：事件“原材料（马铃薯）紧缺”已生效；范围=All；可能影响备货、售价或毛利，请据实描述）
（本回合：事件“PA大雪天气”已生效；范围=PA；请描述对客流/排班/营收的影响）
请严格遵循：你的回复第一行必须是：Agent=A018_PA_RR | Round=14。然后换行输出正文，不要使用代码块，也不能在第一行之外重复抬头。
用户: Agent=A018_PA_RR | Round=14
【本周行动】你现在扮演：罗伊罗杰门店值班经理（州别：PA，连锁：罗伊罗杰）。
时间定位：起始={start_date}，当前={round_date}，为起始后的第 {round} 周（粒度={period}）。
只输出**本周行动**：列出 1–3 个具体动作及简要理由/目标（可涉及：用工与班次、工资与成本、售价/促销、排班/营业时长、库存/到货、设备与安全、风险应对等）。
**不要复述上周/背景/事件内容**；无变化写“（无更新）”。
样式：紧凑中文自然语句，合计不超过 **80 字**；不要输出 JSON 或代码块；抬头由系统注入，请勿重复。","Agent=A018_PA_RR | Round=14
落实节日促销，更新菜单与话术，主推套餐与外卖。
薯类短缺：限量薯条，建议替换沙拉/凉拌菜，更新成本测算。
大雪：缩短营业1小时，合并班次，安排近住员工与除雪。",14
